Id, Title, Year, Num_Citiation, Authors, Fields_of_Study, 
2165343272, A comparison of normal estimation schemes,1997,73, Torsten Möller; Raghu Machiraju; Klaus Mueller; Roni Yagel, Rendering (computer graphics); Image processing; Theoretical computer science; Volume rendering; Computer vision; Shading; Interpolation; Filter design; Artificial intelligence; Derivation; Mathematical optimization; Taylor series; Computer science, 
2165401058, Interval set: a volume rendering technique generalizing isosurface extraction,1995,33, Baining Guo, , 
2165418521, Towards Robust Topology of Sparsely Sampled Data,2011,18, Carlos D. Correa; Peter Lindstrom, Graph theory; Spurious relationship; Robustness (computer science); Mesh generation; Data set; Cluster analysis; Delaunay triangulation; Robust statistics; Mathematics; Topology, 
2165453175, Uncertainty Quantification in Linear Interpolation for Isosurface Extraction,2013,13, Tushar Athawale; Alireza Entezari, Computer vision; Theoretical computer science; Uncertainty quantification; Uncertain data; Expected value; Isosurface; Linear interpolation; Interpolation; Artificial intelligence; Computer science; Random variable; Marching cubes; Mathematical optimization, 
2165467901, Overview Use in Multiple Visual Information Resolution Interfaces,2007,40, Heidi Lam; Tamara Munzner; Robert Kincaid, Region of interest; Computer vision; Data visualization; Encoding (memory); Object detection; Artificial intelligence; Computer science; Cognitive load; Graphical user interface, 
2165471068, Estimating Crossing Fibers: A Tensor Decomposition Approach,2008,96, Thomas Schultz; Hans-Peter Seidel, , 
2112649047, Integration of visualization and scientific calculation in a software system,1991,16, Ulrich Lang; Ruth E. Lang; Roland Rühle, Software system; Backporting; Resource-oriented architecture; Theoretical computer science; Software visualization; Visualization; Package development process; Information visualization; Computer science; Software sizing, 
2165480028, Applying 3D visualization techniques to finite element analysis,1991,5, Richard S. Gallagher; Robert B. Haber; Gordon Ferguson; David Parker; Douglas W. Stillman; James Winget, , 
2112704855, Lattice-Based Volumetric Global Illumination,2007,32, Feng Qiu; Fang Xu; Zhe Fan; Neophytou Neophytos; Arie E. Kaufman; Klaus Mueller, Frequency domain; Rendering (computer graphics); Sphere packing; Computer vision; Volume rendering; Kissing number problem; k-nearest neighbors algorithm; Discretization; Artificial intelligence; Computer science; Global illumination, 
2165544866, Pixnostics: Towards Measuring the Value of Visualization,2006,36, Jörn Schneidewind; Mike Sips; Daniel A. Keim, , 
2112751416, Simple 3D glyphs for spatial multivariate data,2005,16, Camilla Forsell; Stefan Seipel; Mats Lind, Data mining; Theoretical computer science; Computer science; Curvature; Visualization; Spatial analysis; Data visualization; Multidimensional systems; Affine transformation; Multivariate statistics; Invariant (mathematics), 
2165580095, Towards rich information landscapes for visualising structured Web spaces,1996,21, Keith Andrews; Michael Pichler; Peter Wolf, Computer science; Data mining; World Wide Web; Harmony (color); Search engine indexing; Information processing; Data visualization; Hyperlink; Web server; Data model; Hierarchy, 
2112829430, Temporal continuity of levels of detail in Delaunay triangulated terrain,1996,62, Daniel Cohen-Or; Yishay Levanoni, , 
2165662062, Jigsaw: Supporting Investigative Analysis through Interactive Visualization,2007,322, John T. Stasko; Carsten Görg; Zhicheng Liu; Kanupriya Singhal, Data mining; Computer science; Visual analytics; Data visualization; Information system; Interactive visualization; Jigsaw; Thread (computing); Text mining; Information visualization, 
2112837953, Multivariate Network Exploration and Presentation: From Detail to Overview via Selections and Aggregations,2014,52, Stef van den Elzen; Jarke J. van Wijk, , 
2112871220, A multiphase approach to efficient surface simplification,2002,53, Michael Garland; Eric Shaffer, , 
2165706283, GeneVis: visualization tools for genetic regulatory network dynamics,2002,12, Charles A. H. Baker; M.S.T Carpendale; Przemyslaw Prusinkiewicz; Michael G. Surette, Computational biology; Theoretical computer science; Data visualization; Visualization; Network dynamics; Computer science; Bioinformatics, 
2112905000, Hue-Preserving Color Blending,2009,25, Johnson Chuang; Daniel Weiskopf; Torsten Möller, Computer vision; Compositing; Rendering (computer graphics); Operator (computer programming); Volume rendering; Brightness; Alpha compositing; Artificial intelligence; Hue; Transparency (graphic); Computer science, 
2112993386, Decoupling Illumination from Isosurface Generation Using 4D Light Transport,2009,7, David C. Banks; Kevin M. Beason, Computer vision; Grid; Scalar field; Level set; Scalar (physics); Isosurface; Sampling (statistics); Radiance; Artificial intelligence; Global illumination; Computer science, 
2112996167, Comparative Visualization for Wave-based and Geometric Acoustics,2006,23, Eduard Deines; Martin Bertram; Jan Mohring; Jevgenijs Jegorovs; Frank Michel; Hans Hagen; Gregory M. Nielson, , 
2113001609, Acceleration techniques for GPU-based volume rendering,2003,577, Jens H. Krüger; Rüdiger Westermann, , 
2046714461, Illustrative Stream Surfaces,2010,36, Silvia Born; Alexander Wiebel; Jan Friedrich; Gerik Scheuermann; Dirk Bartz, , 
2113022204, Case study: visualization of particle track data,2001,8, Xiaoming Wei; Arie E. Kaufman; Timothy J. Hallman, Theoretical computer science; Quark; Gluon; Particle; Universe; Quark–gluon plasma; Relativistic Heavy Ion Collider; Big Bang; Particle physics; Proton; Computer science, 
2046715323, The multilevel finite element method for adaptive mesh optimization and visualization of volume data,1997,90, Roberto Grosso; Christoph Lürig; Thomas Ertl, , 
2165875824, Data level comparative visualization in aircraft design,1996,6, Jens C. Trapp; Hans-Georg Pagendarm, Design tool; Theoretical computer science; Computer vision; Experimental data; Dynamic problem; Data visualization; Visualization; Artificial intelligence; Preprocessor; Glyph; Computer science; Flow visualization, 
2113048824, Visualization of time-dependent remote adaptive mesh refinement data,2005,12, Ralf Kaehler; Steffen Prohaska; Andrei Hutanu; Hans-Christian Hege, Theoretical computer science; Grid; Grid computing; Visualization; Adaptive mesh refinement; Data visualization; Mesh generation; Remote procedure call; Network topology; Computer science, 
2113078208, Applying space subdivision techniques to volume rendering,1990,55, Kalpathi R. Subramanian; Donald S. Fussell, Ray casting; Rendering (computer graphics); Volume rendering; Theoretical computer science; Computer vision; Voxel; k-d tree; Animation; Bounding volume hierarchy; Artificial intelligence; Space partitioning; Computer science, 
